epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.062,1.37866,2.55527,1.5689,0.72732,0.63993,0.67584,0.46996,0.94969,1.1633,1.17739,0.000138612,0.000138612,0.000138612
2,413.669,1.38782,2.16281,1.58347,0.65675,0.56428,0.58918,0.37259,1.15679,1.40177,1.37052,0.000272115,0.000272115,0.000272115
3,615.088,1.4259,2.22969,1.63921,0.65558,0.50011,0.53244,0.33455,1.21118,1.56116,1.42642,0.000400114,0.000400114,0.000400114
4,819.646,1.43246,2.2251,1.64381,0.62757,0.52781,0.54967,0.34399,1.22127,1.52546,1.43351,0.00039223,0.00039223,0.00039223
5,1016.87,1.41509,2.19803,1.64478,0.65172,0.53953,0.56433,0.35582,1.17223,1.47454,1.39519,0.000383974,0.000383974,0.000383974
6,1217.79,1.38597,2.12416,1.62478,0.64382,0.54963,0.56003,0.34805,1.18865,1.51143,1.40913,0.000375717,0.000375717,0.000375717
7,1420.15,1.35881,2.07784,1.60539,0.67464,0.54709,0.58212,0.37167,1.16439,1.39024,1.38502,0.00036746,0.00036746,0.00036746
8,1623.41,1.34968,2.01479,1.59055,0.67583,0.55,0.59209,0.38075,1.15921,1.38559,1.38956,0.000359204,0.000359204,0.000359204
9,1832.04,1.32942,1.98734,1.57876,0.67846,0.56503,0.59819,0.38827,1.14218,1.36147,1.36851,0.000350947,0.000350947,0.000350947
10,2037.69,1.31543,1.94344,1.56521,0.70198,0.56557,0.61185,0.40405,1.10858,1.32075,1.35314,0.000342691,0.000342691,0.000342691
11,2246.97,1.30681,1.8975,1.5508,0.71356,0.57935,0.62899,0.42046,1.10665,1.2692,1.33935,0.000334434,0.000334434,0.000334434
12,2457.8,1.28793,1.88897,1.54564,0.7178,0.5879,0.63378,0.4174,1.11716,1.28535,1.3489,0.000326177,0.000326177,0.000326177
13,2673.77,1.28097,1.8516,1.53596,0.72449,0.5869,0.6365,0.42387,1.09564,1.24742,1.33492,0.000317921,0.000317921,0.000317921
14,2886.81,1.26609,1.82412,1.52602,0.7071,0.58462,0.62055,0.41313,1.09689,1.26202,1.33389,0.000309664,0.000309664,0.000309664
15,3097.94,1.25855,1.78793,1.51767,0.71547,0.59365,0.63475,0.42757,1.0778,1.22581,1.32079,0.000301408,0.000301408,0.000301408
16,3306.65,1.24847,1.77638,1.5162,0.70863,0.60982,0.64752,0.43752,1.07505,1.22196,1.32026,0.000293151,0.000293151,0.000293151
17,3511.36,1.24405,1.7586,1.51048,0.73079,0.59694,0.64938,0.44369,1.05343,1.19929,1.29553,0.000284894,0.000284894,0.000284894
18,3724.76,1.23199,1.73737,1.5046,0.73249,0.60472,0.65176,0.44851,1.04709,1.20385,1.29626,0.000276638,0.000276638,0.000276638
19,3930.43,1.22637,1.70817,1.49552,0.73799,0.60679,0.65936,0.45162,1.05295,1.18521,1.30411,0.000268381,0.000268381,0.000268381
20,4139.67,1.21927,1.69101,1.48808,0.73956,0.62054,0.66963,0.46181,1.03227,1.15488,1.27949,0.000260125,0.000260125,0.000260125
21,4345.62,1.20128,1.64255,1.47034,0.73357,0.62382,0.6699,0.46147,1.03813,1.14297,1.28166,0.000251868,0.000251868,0.000251868
